"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 17:58:42 GMT 2023","Mon Nov 27 17:58:46 GMT 2023","4509","chromium","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
"passed","Mon Nov 27 17:58:52 GMT 2023","Mon Nov 27 17:58:57 GMT 2023","5077","chromium","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"passed","Mon Nov 27 17:59:48 GMT 2023","Mon Nov 27 17:59:53 GMT 2023","5919","firefox","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"passed","Mon Nov 27 17:59:35 GMT 2023","Mon Nov 27 17:59:39 GMT 2023","4160","firefox","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
"passed","Mon Nov 27 17:58:46 GMT 2023","Mon Nov 27 17:58:52 GMT 2023","6037","chromium","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
"passed","Mon Nov 27 17:59:30 GMT 2023","Mon Nov 27 17:59:35 GMT 2023","4594","chromium","valid.login.spec.ts","Logging in","","","Logging in existing user",""
"failed","Mon Nov 27 18:00:18 GMT 2023","Mon Nov 27 18:00:30 GMT 2023","11845","firefox","registration.spec.ts","Registration","","","Registration",""
"passed","Mon Nov 27 17:59:39 GMT 2023","Mon Nov 27 17:59:48 GMT 2023","8451","firefox","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
"passed","Mon Nov 27 18:00:31 GMT 2023","Mon Nov 27 18:00:36 GMT 2023","5945","firefox","valid.login.spec.ts","Logging in","","","Logging in existing user",""
"failed","Mon Nov 27 17:59:20 GMT 2023","Mon Nov 27 17:59:30 GMT 2023","10054","chromium","registration.spec.ts","Registration","","","Registration",""
